,0,1,2,3,4,5,6,7,8,9
SEXO__1- Hombre,-0.373076935599189,0.1739857951001704,0.0336454611506794,-0.000781134732275001,-0.10426722476206485,-0.0006368065596128293,-0.03254377482762953,-0.023968742508751754,-0.03199201937911016,-0.03757140433524212
SEXO__2- Mujer,-0.3624603338004552,0.19023984702205918,0.049410457497863665,-0.021836816497094135,-0.019921475660031912,0.02355298077959444,0.004788197152436278,-0.02499475052212118,-0.06832310725923199,-0.06126481349657896
SEXO__No_reporta,1.4913125847830857,-0.7381586046932004,-0.16792522529811152,0.04504905836498822,0.25406200408043456,-0.04590937852200643,0.057345442022796074,0.09932398591038105,0.20240480682235548,0.19965730410022808
SEXO__Otros_SEXO,0.3698619371350527,2.899275903745355,-0.11451579396587187,2.4985907966683882,0.029170719356621626,1.3197680503688152,-0.6284177545127853,-1.0627306300308004,-0.5169242662939938,0.5578271620340689
ESTRATO__1. Bajo-bajo,-0.9300786607498295,-0.24582392684680437,0.04579148628450956,-0.3446969304283622,0.8622495982658469,0.08231631555585306,-0.8321512610876584,0.6917898375364165,-0.05361060755213153,-0.1431028375054569
ESTRATO__2. Bajo,-0.931246763021866,-0.29418731156797984,0.0355711700987559,0.01960711665875612,0.1413633065535474,-0.12488142197362566,-0.10652650040662169,-0.07134001021457703,0.04478187956602256,-0.012219203424746469
ESTRATO__3. Medio-bajo,-0.8646003148214491,-0.28982604071648066,0.2624719522645049,-0.08427145407562127,-1.1541270362277962,0.3390872666822586,0.9394030369059403,-0.23234160743555005,-0.5196600097703873,0.2777326215409897
ESTRATO__No_reporta,0.9244114801459866,0.28731861983769574,-0.08207948989130208,0.06069688067190447,-0.010335969090494359,0.00246474522868911,0.024411827765148667,-0.02236336633718762,0.08007350767961555,-0.022525710419364086
ESTRATO__Otros_ESTRATO,-0.7623201780739988,-0.21526275611053056,1.1849871162062027,-0.5522427798582972,-1.4886864073090396,-0.35927319347212755,1.113222236767614,-0.6851763393362879,-0.31939310890715616,0.6989744787070962
Localidad_fic__Antonio Nariño,0.19115737439471475,0.09576435750891855,0.1183017243241391,0.36214867312424365,-0.9143152746065393,0.8796736726140104,0.5734960171821708,-0.086551025624481,-0.3755636972031036,0.0918388979327241
Localidad_fic__Barrios Unidos,-0.15513489689578006,0.10282566939083138,0.09337370899910355,-0.175360218437102,-1.0295470542702814,-0.16922896385777156,0.7466241770072939,-0.1553467590519336,-0.5301015775386742,0.8833612135880181
Localidad_fic__Bosa,-0.12086861471393746,-0.08713108063851505,0.12064217795997756,0.19013528525762655,0.5153436298485501,-0.2764904120709667,-0.06698907639773834,-0.3474880598103465,0.06057656490424014,0.6905208856197529
Localidad_fic__Ciudad Bolívar,-0.14831233101006797,0.08020400314103034,-0.08936145757076318,-0.6341042937248302,0.7866657137495525,-0.19772346876180433,-0.667471552840299,0.759830899672921,0.1284208463988997,0.2432872864702977
Localidad_fic__Engativá,0.17093457904328255,-0.05653444327298545,0.08749200206245922,-0.42789273654216375,-0.7638058933406272,-0.174359512819167,0.43348727877898763,0.12357808928055428,-0.2883384006879312,0.39094759832164994
